time,x,y,z
8.387,-0.8486764196,-1.4473528392,1
8.388,-0.8483439266,-1.4466878533,1
8.389,-0.8480110987,-1.4460221975,1
8.39,-0.8476779361,-1.4453558722,1
8.391,-0.8473444388,-1.4446888775,1
8.392,-0.8470106069,-1.4440212139,1
8.393,-0.8466764407,-1.4433528815,1
8.394,-0.8463419403,-1.4426838805,1
8.395,-0.8460071057,-1.4420142113,1
8.396,-0.8456719371,-1.4413438742,1
8.397,-0.8453364346,-1.4406728693,1
8.398,-0.8450005985,-1.440001197,1
8.399,-0.8446644287,-1.4393288574,1
8.4,-0.8443279255,-1.438655851,1
8.401,-0.843991089,-1.4379821779,1
